#Photon    Tot. w/  Tot. wo/ 
#Energy    Coherent Coherent 
#MeV      cm2/g     cm2/g
0         0         0
1.000E-03 9.234E+03 9.225E+03 
1.032E-03 8.647E+03 8.639E+03 
1.065E-03 8.098E+03 8.090E+03 
1.065E-03 8.339E+03 8.331E+03 
1.069E-03 8.282E+03 8.273E+03 
1.072E-03 8.225E+03 8.216E+03 
1.072E-03 8.389E+03 8.381E+03 
1.142E-03 7.328E+03 7.319E+03 
1.217E-03 6.401E+03 6.393E+03 
1.217E-03 6.556E+03 6.548E+03 
1.500E-03 4.132E+03 4.124E+03 
2.000E-03 2.114E+03 2.106E+03 
3.000E-03 7.879E+02 7.814E+02 
4.000E-03 3.836E+02 3.779E+02 
4.557E-03 2.756E+02 2.703E+02 
4.557E-03 5.178E+02 5.125E+02 
4.702E-03 4.834E+02 4.782E+02 
4.852E-03 4.513E+02 4.462E+02 
4.852E-03 5.635E+02 5.584E+02 
5.000E-03 5.296E+02 5.246E+02 
5.012E-03 5.264E+02 5.214E+02 
5.012E-03 7.507E+02 7.457E+02 
5.099E-03 7.184E+02 7.135E+02 
5.188E-03 6.875E+02 6.827E+02 
5.188E-03 7.448E+02 7.399E+02 
5.273E-03 7.154E+02 7.106E+02 
5.359E-03 6.872E+02 6.824E+02 
5.359E-03 7.919E+02 7.872E+02 
5.534E-03 7.314E+02 7.267E+02 
5.714E-03 6.756E+02 6.711E+02 
5.714E-03 7.262E+02 7.216E+02 
6.000E-03 6.449E+02 6.405E+02 
8.000E-03 3.071E+02 3.036E+02 
1.000E-02 1.711E+02 1.683E+02 
1.500E-02 5.816E+01 5.628E+01 
2.000E-02 2.686E+01 2.552E+01 
3.000E-02 9.045E+00 8.283E+00 
3.317E-02 6.921E+00 6.264E+00 
3.317E-02 2.122E+01 2.056E+01 
3.455E-02 1.910E+01 1.848E+01 
3.598E-02 1.718E+01 1.660E+01 
3.598E-02 3.026E+01 2.968E+01 
4.000E-02 2.297E+01 2.247E+01 
5.000E-02 1.287E+01 1.252E+01 
6.000E-02 7.921E+00 7.657E+00 
8.000E-02 3.677E+00 3.514E+00 
1.000E-01 2.035E+00 1.925E+00 
1.500E-01 7.291E-01 6.755E-01 
2.000E-01 3.805E-01 3.488E-01 
3.000E-01 1.818E-01 1.670E-01 
4.000E-01 1.237E-01 1.152E-01 
5.000E-01 9.809E-02 9.255E-02 
6.000E-01 8.374E-02 7.986E-02 
8.000E-01 6.770E-02 6.549E-02 
1.000E+00 5.848E-02 5.706E-02 
1.022E+00 5.766E-02 5.630E-02 
1.250E+00 5.109E-02 5.017E-02 
1.500E+00 4.644E-02 4.581E-02 
2.000E+00 4.123E-02 4.087E-02 
2.044E+00 4.092E-02 4.058E-02 
3.000E+00 3.721E-02 3.705E-02 
4.000E+00 3.616E-02 3.607E-02 
5.000E+00 3.622E-02 3.616E-02 
6.000E+00 3.673E-02 3.669E-02 
7.000E+00 3.749E-02 3.747E-02 
8.000E+00 3.838E-02 3.836E-02 
9.000E+00 3.933E-02 3.931E-02 
1.000E+01 4.030E-02 4.029E-02 
1.100E+01 4.128E-02 4.126E-02 
1.200E+01 4.224E-02 4.223E-02 
1.300E+01 4.317E-02 4.317E-02 
1.400E+01 4.407E-02 4.406E-02 
1.500E+01 4.493E-02 4.492E-02 
1.600E+01 4.573E-02 4.573E-02 
1.800E+01 4.725E-02 4.725E-02 
2.000E+01 4.867E-02 4.867E-02 
2.200E+01 5.001E-02 5.000E-02 
2.400E+01 5.125E-02 5.124E-02 
2.600E+01 5.239E-02 5.239E-02 
2.800E+01 5.346E-02 5.346E-02 
3.000E+01 5.448E-02 5.448E-02 
4.000E+01 5.865E-02 5.865E-02 
5.000E+01 6.188E-02 6.188E-02 
6.000E+01 6.448E-02 6.448E-02 
8.000E+01 6.835E-02 6.835E-02 
1.000E+02 7.116E-02 7.116E-02 
1.500E+02 7.573E-02 7.573E-02 
2.000E+02 7.851E-02 7.851E-02 
3.000E+02 8.178E-02 8.178E-02 
4.000E+02 8.368E-02 8.368E-02 
5.000E+02 8.493E-02 8.493E-02 
6.000E+02 8.584E-02 8.584E-02 
8.000E+02 8.704E-02 8.704E-02 
1.000E+03 8.784E-02 8.784E-02 
1.500E+03 8.897E-02 8.897E-02 
2.000E+03 8.960E-02 8.960E-02 
3.000E+03 9.028E-02 9.028E-02 
4.000E+03 9.064E-02 9.064E-02 
5.000E+03 9.089E-02 9.089E-02 
6.000E+03 9.102E-02 9.102E-02 
8.000E+03 9.125E-02 9.125E-02 
1.000E+04 9.139E-02 9.139E-02 
1.500E+04 9.159E-02 9.159E-02 
2.000E+04 9.168E-02 9.168E-02 
3.000E+04 9.177E-02 9.177E-02 
4.000E+04 9.182E-02 9.182E-02 
5.000E+04 9.187E-02 9.187E-02 
6.000E+04 9.189E-02 9.189E-02 
8.000E+04 9.191E-02 9.191E-02 
1.000E+05 9.193E-02 9.193E-02 
