#Photon    Tot. w/  Tot. wo/ 
#Energy    Coherent Coherent 
# (MeV)    (cm2/g)   (cm2/g)
1.000E-03 1.570E+03 1.567E+03 
1.500E-03 5.356E+02 5.333E+02 
1.839E-03 3.092E+02 3.071E+02 
1.839E-03 3.193E+03 3.191E+03 
2.000E-03 2.777E+03 2.775E+03 
3.000E-03 9.784E+02 9.767E+02 
4.000E-03 4.528E+02 4.514E+02 
5.000E-03 2.451E+02 2.439E+02 
6.000E-03 1.470E+02 1.459E+02 
8.000E-03 6.469E+01 6.389E+01 
1.000E-02 3.388E+01 3.326E+01 
1.500E-02 1.034E+01 9.977E+00 
2.000E-02 4.463E+00 4.229E+00 
3.000E-02 1.436E+00 1.311E+00 
4.000E-02 7.010E-01 6.221E-01 
5.000E-02 4.385E-01 3.845E-01 
6.000E-02 3.206E-01 2.815E-01 
8.000E-02 2.228E-01 1.995E-01 
1.000E-01 1.835E-01 1.682E-01 
1.500E-01 1.448E-01 1.377E-01 
2.000E-01 1.275E-01 1.235E-01 
3.000E-01 1.082E-01 1.063E-01 
4.000E-01 9.614E-02 9.509E-02 
5.000E-01 8.748E-02 8.681E-02 
6.000E-01 8.078E-02 8.031E-02 
8.000E-01 7.082E-02 7.056E-02 
1.000E+00 6.361E-02 6.344E-02 
1.022E+00 6.293E-02 6.277E-02 
1.250E+00 5.688E-02 5.677E-02 
1.500E+00 5.183E-02 5.175E-02 
2.000E+00 4.481E-02 4.476E-02 
2.044E+00 4.433E-02 4.429E-02 
3.000E+00 3.678E-02 3.677E-02 
4.000E+00 3.240E-02 3.239E-02 
5.000E+00 2.967E-02 2.967E-02 
6.000E+00 2.788E-02 2.787E-02 
7.000E+00 2.663E-02 2.663E-02 
8.000E+00 2.574E-02 2.574E-02 
9.000E+00 2.509E-02 2.509E-02 
1.000E+01 2.462E-02 2.461E-02 
1.100E+01 2.425E-02 2.425E-02 
1.200E+01 2.398E-02 2.398E-02 
1.300E+01 2.378E-02 2.377E-02 
1.400E+01 2.362E-02 2.362E-02 
1.500E+01 2.352E-02 2.352E-02 
1.600E+01 2.345E-02 2.345E-02 
1.800E+01 2.338E-02 2.338E-02 
2.000E+01 2.338E-02 2.338E-02 
2.200E+01 2.343E-02 2.343E-02 
2.400E+01 2.351E-02 2.351E-02 
2.600E+01 2.361E-02 2.361E-02 
2.800E+01 2.372E-02 2.372E-02 
3.000E+01 2.385E-02 2.385E-02 
4.000E+01 2.455E-02 2.455E-02 
5.000E+01 2.522E-02 2.522E-02 
6.000E+01 2.583E-02 2.583E-02 
8.000E+01 2.685E-02 2.685E-02 
1.000E+02 2.764E-02 2.764E-02 
1.500E+02 2.905E-02 2.905E-02 
2.000E+02 2.996E-02 2.996E-02 
3.000E+02 3.111E-02 3.111E-02 
4.000E+02 3.181E-02 3.181E-02 
5.000E+02 3.229E-02 3.229E-02 
6.000E+02 3.263E-02 3.263E-02 
8.000E+02 3.312E-02 3.312E-02 
1.000E+03 3.344E-02 3.344E-02 
1.500E+03 3.390E-02 3.390E-02 
2.000E+03 3.415E-02 3.415E-02 
3.000E+03 3.444E-02 3.444E-02 
4.000E+03 3.461E-02 3.461E-02 
5.000E+03 3.469E-02 3.469E-02 
6.000E+03 3.478E-02 3.478E-02 
8.000E+03 3.486E-02 3.486E-02 
1.000E+04 3.493E-02 3.493E-02 
1.500E+04 3.499E-02 3.499E-02 
2.000E+04 3.503E-02 3.503E-02 
3.000E+04 3.510E-02 3.510E-02 
4.000E+04 3.512E-02 3.512E-02 
5.000E+04 3.512E-02 3.512E-02 
6.000E+04 3.515E-02 3.515E-02 
8.000E+04 3.515E-02 3.515E-02 
1.000E+05 3.517E-02 3.517E-02 
