#          eV      barns         eV      barns         eV      barns
#  
  1.000000e-5 0.000000e+0 8.160700e+4 0.000000e+0 8.160700e+4 5.265897e+0
  1.000000e+5 5.211150e+0 1.500000e+5 5.163080e+0 2.000000e+5 5.213080e+0
  3.000000e+5 5.422260e+0 5.000000e+5 5.928620e+0 6.000000e+5 6.166080e+0
  7.000000e+5 6.385090e+0 8.000000e+5 6.577940e+0 9.000000e+5 6.728930e+0
  1.000000e+6 6.845620e+0 1.150000e+6 6.954760e+0 1.300000e+6 6.988210e+0
  1.500000e+6 6.932090e+0 1.800000e+6 6.697150e+0 2.600000e+6 5.830400e+0
  3.000000e+6 5.473900e+0 3.500000e+6 5.124920e+0 4.000000e+6 4.844140e+0
  5.000000e+6 4.494340e+0 6.000000e+6 4.252280e+0 7.000000e+6 4.235330e+0
  8.000000e+6 4.357390e+0 9.000000e+6 4.522760e+0 1.000000e+7 4.673650e+0
  1.100000e+7 4.787240e+0 1.200000e+7 4.860290e+0 1.300000e+7 4.897390e+0
  1.400000e+7 4.904140e+0 1.500000e+7 4.884750e+0 1.600000e+7 4.842480e+0
  1.700000e+7 4.779790e+0 1.800000e+7 4.697740e+0 1.900000e+7 4.597470e+0
  2.000000e+7 4.482540e+0 1e10       0          1e30       0 
