#          eV      barns         eV      barns         eV      barns
#
  1.000000e-5 0.000000e+0 2.500000e-2 0.000000e+0 1.924177e+3 3.048410e-8
  3.000000e+3 3.048740e-8 4.050000e+3 3.049060e-8 4.050000e+3 7.736010e+0
  6.000000e+3 7.341290e+0 1.000000e+4 6.950000e+0 2.000000e+4 6.515660e+0
  4.000000e+4 6.179770e+0 5.806700e+4 6.037220e+0 7.000000e+4 5.975400e+0
  1.000000e+5 5.875000e+0 1.030500e+5 5.867890e+0 1.500000e+5 5.837830e+0
  2.000000e+5 5.875000e+0 2.044730e+5 5.879580e+0 2.500000e+5 5.932430e+0
  2.557660e+5 5.939800e+0 3.000000e+5 6.000000e+0 3.779730e+5 6.105000e+0
  3.899650e+5 6.121050e+0 4.000000e+5 6.134610e+0 4.198610e+5 6.161890e+0
  4.212530e+5 6.163820e+0 4.767600e+5 6.244250e+0 5.000000e+5 6.280000e+0
  5.459550e+5 6.354440e+0 5.488780e+5 6.359220e+0 5.540190e+5 6.367610e+0
  6.000000e+5 6.440000e+0 6.039120e+5 6.445900e+0 6.233160e+5 6.476170e+0
  6.335970e+5 6.492740e+0 6.561760e+5 6.529990e+0 6.827340e+5 6.574560e+0
  7.000000e+5 6.603550e+0 7.025910e+5 6.607880e+0 7.044050e+5 6.610910e+0
  7.222060e+5 6.640430e+0 7.506410e+5 6.686410e+0 8.000000e+5 6.761140e+0
  8.341590e+5 6.807890e+0 8.445100e+5 6.821140e+0 8.900200e+5 6.873810e+0
  9.000000e+5 6.884090e+0 9.985250e+5 6.959250e+0 9.988080e+5 6.959390e+0
  1.000000e+6 6.960000e+0 1.052300e+6 6.963760e+0 1.062930e+6 6.959670e+0
  1.077550e+6 6.951830e+0 1.098310e+6 6.936740e+0 1.103050e+6 6.932710e+0
  1.131650e+6 6.904410e+0 1.145940e+6 6.888030e+0 1.200000e+6 6.816330e+0
  1.213520e+6 6.796640e+0 1.246880e+6 6.746290e+0 1.250000e+6 6.741500e+0
  1.271680e+6 6.707900e+0 1.301820e+6 6.660970e+0 1.310340e+6 6.647760e+0
  1.323090e+6 6.628090e+0 1.333770e+6 6.611730e+0 1.350000e+6 6.587170e+0
  1.400000e+6 6.514600e+0 1.500000e+6 6.390000e+0 1.511930e+6 6.377260e+0
  1.713520e+6 6.185360e+0 1.750000e+6 6.153030e+0 1.915110e+6 6.006310e+0
  2.000000e+6 5.928000e+0 2.116700e+6 5.821550e+0 2.200470e+6 5.749020e+0
  2.500000e+6 5.513660e+0 3.000000e+6 5.190000e+0 3.500000e+6 4.927480e+0
  4.000000e+6 4.710000e+0 4.500000e+6 4.536460e+0 5.000000e+6 4.406080e+0
  6.000000e+6 4.250000e+0 6.253250e+6 4.235380e+0 7.000000e+6 4.272400e+0
  8.000000e+6 4.400000e+0 9.000000e+6 4.566400e+0 9.210020e+6 4.602080e+0
  9.500000e+6 4.647580e+0 1.000000e+7 4.710000e+0 1.050000e+7 4.753980e+0
  1.100000e+7 4.786620e+0 1.150000e+7 4.808450e+0 1.200000e+7 4.820000e+0
  1.300000e+7 4.820760e+0 1.400000e+7 4.790000e+0 1.500000e+7 4.737380e+0
  1.600000e+7 4.676000e+0 1.640810e+7 4.648940e+0 1.700000e+7 4.607860e+0
  1.800000e+7 4.532000e+0 1.900000e+7 4.448430e+0 2.000000e+7 4.356000e+0
  2.100000e+7 4.269630e+0 2.200000e+7 4.188000e+0 2.300000e+7 4.101390e+0
  2.400000e+7 4.016000e+0 2.500000e+7 3.940930e+0 2.600000e+7 3.873000e+0
  2.603340e+7 3.870860e+0 2.700000e+7 3.816800e+0 2.800000e+7 3.772000e+0
  2.900000e+7 3.735360e+0 3.000000e+7 3.707000e+0   
