#         eV      barn        eV      barns         eV      barns
# 
 1.000000e-5 0.000000e+0 2.530000e-2 0.000000e+0 1.000000e+3 0.000000e+0
 1.000000e+4 0.000000e+0 1.000000e+5 0.000000e+0 1.000000e+6 0.000000e+0
 1.750000e+6 0.000000e+0 1.750000e+6 1.842000e+0 1.750750e+6 1.839880e+0
 1.752340e+6 1.825260e+0 1.753930e+6 1.832380e+0 1.755530e+6 1.862620e+0
 1.757130e+6 1.835370e+0 1.758730e+6 1.842840e+0 1.760340e+6 1.851110e+0
 1.761940e+6 1.847470e+0 1.763550e+6 1.850350e+0 1.765160e+6 1.830890e+0
 1.766770e+6 1.825550e+0 1.768390e+6 1.808320e+0 1.770010e+6 1.830870e+0
 1.771620e+6 1.788640e+0 1.773250e+6 1.777730e+0 1.774870e+6 1.759930e+0
 1.776500e+6 1.770400e+0 1.778120e+6 1.723990e+0 1.779750e+6 1.777770e+0
 1.781390e+6 1.770710e+0 1.782370e+6 1.773660e+0 1.782690e+6 1.718720e+0
 1.783020e+6 1.761510e+0 1.783350e+6 1.862910e+0 1.783680e+6 1.925760e+0
 1.784000e+6 1.968660e+0 1.784330e+6 2.071940e+0 1.784660e+6 2.058620e+0
 1.784990e+6 2.239810e+0 1.785310e+6 2.190820e+0 1.785640e+6 2.100450e+0
 1.785970e+6 2.013840e+0 1.786300e+6 1.868480e+0 1.786630e+6 1.816700e+0
 1.786950e+6 1.803600e+0 1.787280e+6 1.707000e+0 1.787610e+6 1.772300e+0
 1.787940e+6 1.703420e+0 1.788600e+6 1.726190e+0 1.789580e+6 1.681730e+0
 1.790570e+6 1.721160e+0 1.791560e+6 1.720560e+0 1.792550e+6 1.704200e+0
 1.793540e+6 1.754810e+0 1.794530e+6 1.756560e+0 1.795520e+6 1.799830e+0
 1.796510e+6 1.796060e+0 1.797510e+6 1.811740e+0 1.798500e+6 1.802620e+0
 1.799500e+6 1.823060e+0 1.800490e+6 1.862640e+0 1.801490e+6 1.855830e+0
 1.802150e+6 1.870330e+0 1.802490e+6 1.928100e+0 1.802820e+6 2.000240e+0
 1.803150e+6 1.971800e+0 1.803480e+6 2.058360e+0 1.803820e+6 2.270290e+0
 1.804150e+6 2.154820e+0 1.804480e+6 2.433800e+0 1.804820e+6 2.660230e+0
 1.805150e+6 2.885390e+0 1.805480e+6 3.317260e+0 1.805820e+6 3.362510e+0
 1.806150e+6 3.092130e+0 1.806480e+6 2.787310e+0 1.806820e+6 2.599070e+0
 1.807150e+6 2.227320e+0 1.807480e+6 1.960550e+0 1.807820e+6 1.941760e+0
 1.808150e+6 1.864040e+0 1.808490e+6 1.647940e+0 1.809320e+6 1.776150e+0
 1.810660e+6 1.810080e+0 1.812000e+6 1.844610e+0 1.813340e+6 1.858690e+0
 1.814690e+6 1.865370e+0 1.816030e+6 1.930700e+0 1.817380e+6 1.961210e+0
 1.818720e+6 2.092090e+0 1.820070e+6 2.137470e+0 1.821420e+6 2.233910e+0
 1.822780e+6 2.329890e+0 1.824130e+6 2.470290e+0 1.825480e+6 2.509590e+0
 1.827010e+6 2.625940e+0 1.828710e+6 2.826900e+0 1.830410e+6 3.050280e+0
 1.832110e+6 3.297730e+0 1.833820e+6 3.582150e+0 1.835180e+6 3.843310e+0
 1.836210e+6 3.996550e+0 1.837240e+6 4.265090e+0 1.838260e+6 4.617390e+0
 1.839290e+6 4.928260e+0 1.840320e+6 5.273730e+0 1.841350e+6 5.634590e+0
 1.842380e+6 6.019320e+0 1.843100e+6 6.324230e+0 1.843400e+6 6.451280e+0
 1.843410e+6 6.455520e+0 1.843900e+6 6.591880e+0 1.844440e+6 6.742160e+0
 1.845480e+6 6.983930e+0 1.846510e+6 7.279190e+0 1.847550e+6 7.359570e+0
 1.848580e+6 7.700120e+0 1.849620e+6 7.851870e+0 1.850660e+6 7.769180e+0
 1.851700e+6 7.821440e+0 1.852740e+6 7.983720e+0 1.853780e+6 8.211850e+0
 1.854820e+6 8.181790e+0 1.855860e+6 7.916810e+0 1.856900e+6 7.695030e+0
 1.857700e+6 7.496830e+0 1.857950e+6 7.434900e+0 1.858990e+6 7.121130e+0
 1.860040e+6 7.088330e+0 1.861080e+6 6.936060e+0 1.862130e+6 6.752730e+0
 1.862900e+6 6.710050e+0 1.863530e+6 6.675130e+0 1.865280e+6 6.373630e+0
 1.867030e+6 6.099540e+0 1.867300e+6 6.051500e+0 1.868780e+6 5.788140e+0
 1.870540e+6 5.538380e+0 1.872300e+6 5.328290e+0 1.874060e+6 5.113650e+0
 1.875820e+6 4.883260e+0 1.877590e+6 4.751500e+0 1.879360e+6 4.536490e+0
 1.881130e+6 4.358730e+0 1.882910e+6 4.117310e+0 1.884680e+6 3.906730e+0
 1.886460e+6 3.744920e+0 1.888240e+6 3.590670e+0 1.890030e+6 3.319510e+0
 1.891820e+6 3.229950e+0 1.893610e+6 3.042870e+0 1.895400e+6 2.867920e+0
 1.897190e+6 2.698080e+0 1.897600e+6 2.664410e+0 1.898990e+6 2.550240e+0
 1.900790e+6 2.420220e+0 1.902230e+6 2.269200e+0 1.902800e+6 2.212150e+0
 1.903310e+6 2.161110e+0 1.904400e+6 2.200560e+0 1.905480e+6 2.119370e+0
 1.906560e+6 2.191060e+0 1.907650e+6 2.173800e+0 1.908740e+6 2.235500e+0
 1.909830e+6 2.354750e+0 1.910910e+6 2.612200e+0 1.912000e+6 2.782350e+0
 1.913090e+6 3.092440e+0 1.914370e+6 3.320610e+0 1.915830e+6 3.736170e+0
 1.917280e+6 4.011380e+0 1.918740e+6 4.213260e+0 1.920210e+6 4.340200e+0
 1.921000e+6 4.364940e+0 1.921670e+6 4.385890e+0 1.923140e+6 4.465210e+0
 1.924600e+6 4.566230e+0 1.925700e+6 4.550020e+0 1.926440e+6 4.617400e+0
 1.927170e+6 4.741710e+0 1.927910e+6 5.131890e+0 1.928650e+6 5.171600e+0
 1.929380e+6 4.816560e+0 1.930120e+6 4.381280e+0 1.930860e+6 4.238490e+0
 1.931590e+6 4.119400e+0 1.932330e+6 4.133510e+0 1.933070e+6 4.124470e+0
 1.933810e+6 4.054840e+0 1.935100e+6 3.929280e+0 1.936960e+6 3.899180e+0
 1.938810e+6 3.855650e+0 1.940670e+6 3.760170e+0 1.942530e+6 3.666740e+0
 1.943600e+6 3.666310e+0 1.944390e+6 3.665980e+0 1.946250e+6 3.653030e+0
 1.948120e+6 3.601880e+0 1.949990e+6 3.617670e+0 1.951860e+6 3.582210e+0
 1.953740e+6 3.583470e+0 1.955620e+6 3.622800e+0 1.957500e+6 3.683240e+0
 1.959380e+6 3.744750e+0 1.961080e+6 3.885930e+0 1.962590e+6 3.964430e+0
 1.964100e+6 4.107850e+0 1.965620e+6 4.335000e+0 1.967130e+6 4.515810e+0
 1.968650e+6 4.833060e+0 1.970170e+6 4.982470e+0 1.971690e+6 5.243750e+0
 1.972200e+6 5.264730e+0 1.973210e+6 5.306290e+0 1.974740e+6 5.330490e+0
 1.976260e+6 5.044310e+0 1.977790e+6 4.909550e+0 1.979320e+6 4.588240e+0
 1.980860e+6 4.235850e+0 1.982390e+6 3.962290e+0 1.983920e+6 3.781510e+0
 1.985460e+6 3.646270e+0 1.986620e+6 3.475870e+0 1.987390e+6 3.379970e+0
 1.988160e+6 3.498000e+0 1.988930e+6 3.644730e+0 1.989700e+6 3.620560e+0
 1.990470e+6 3.358640e+0 1.991240e+6 3.120660e+0 1.992020e+6 3.022710e+0
 1.992790e+6 2.935580e+0 1.993560e+6 2.967600e+0 1.994340e+6 2.968930e+0
 1.995110e+6 2.919940e+0 1.995890e+6 2.880310e+0 1.997240e+6 2.818120e+0
 1.997300e+6 2.816660e+0 1.999180e+6 2.770950e+0 2.000000e+6 2.746940e+0
 2.001130e+6 2.713840e+0 2.003080e+6 2.622370e+0 2.005030e+6 2.581020e+0
 2.006980e+6 2.475730e+0 2.008930e+6 2.486950e+0 2.010890e+6 2.395810e+0
 2.012850e+6 2.385890e+0 2.014820e+6 2.356350e+0 2.016780e+6 2.340040e+0
 2.018750e+6 2.293270e+0 2.020730e+6 2.281850e+0 2.022700e+6 2.242460e+0
 2.024680e+6 2.238650e+0 2.026660e+6 2.171860e+0 2.028650e+6 2.121570e+0
 2.030630e+6 2.109230e+0 2.032620e+6 2.077710e+0 2.032800e+6 2.071890e+0
 2.034620e+6 2.013040e+0 2.036610e+6 1.938650e+0 2.038010e+6 1.903570e+0
 2.038810e+6 1.698940e+0 2.039610e+6 1.595870e+0 2.040410e+6 1.425870e+0
 2.041220e+6 1.308690e+0 2.042020e+6 1.460510e+0 2.042820e+6 1.683190e+0
 2.043620e+6 1.976290e+0 2.044430e+6 2.039070e+0 2.045230e+6 2.072370e+0
 2.046440e+6 2.024090e+0 2.048050e+6 2.058380e+0 2.049300e+6 2.003270e+0
 2.049660e+6 1.987390e+0 2.051280e+6 1.919190e+0 2.052890e+6 1.987390e+0
 2.054510e+6 2.009900e+0 2.056130e+6 2.017940e+0 2.057350e+6 2.066180e+0
 2.058000e+6 2.149600e+0 2.058160e+6 2.170140e+0 2.058970e+6 2.293530e+0
 2.059780e+6 2.440110e+0 2.060600e+6 2.551550e+0 2.061410e+6 2.884470e+0
 2.062220e+6 3.120620e+0 2.063040e+6 3.136580e+0 2.063850e+6 2.618310e+0
 2.064000e+6 2.548470e+0 2.064670e+6 2.236510e+0 2.065480e+6 2.070920e+0
 2.066300e+6 2.025950e+0 2.067520e+6 1.922650e+0 2.069160e+6 1.901380e+0
 2.070100e+6 1.871200e+0 2.070800e+6 1.848710e+0 2.072440e+6 1.813460e+0
 2.073600e+6 1.863060e+0 2.074080e+6 1.883590e+0 2.075720e+6 1.883900e+0
 2.077370e+6 1.972590e+0 2.079020e+6 2.038580e+0 2.080250e+6 2.040260e+0
 2.081080e+6 2.225990e+0 2.081900e+6 2.407950e+0 2.082730e+6 2.741810e+0
 2.083560e+6 3.230510e+0 2.084380e+6 3.516420e+0 2.085210e+6 3.459370e+0
 2.086040e+6 3.102130e+0 2.086600e+6 3.136280e+0 2.086870e+6 3.152740e+0
 2.087700e+6 3.307180e+0 2.088530e+6 3.711310e+0 2.089360e+6 4.023910e+0
 2.090190e+6 4.457070e+0 2.091020e+6 4.525610e+0 2.091850e+6 4.443760e+0
 2.092680e+6 4.225970e+0 2.093510e+6 4.156330e+0 2.094350e+6 4.117360e+0
 2.094400e+6 4.118180e+0 2.095180e+6 4.131030e+0 2.096010e+6 4.071190e+0
 2.097270e+6 4.063600e+0 2.098700e+6 4.015550e+0 2.098940e+6 4.007490e+0
 2.100610e+6 3.932190e+0 2.102290e+6 3.886480e+0 2.103960e+6 3.816420e+0
 2.105600e+6 3.742840e+0 2.105640e+6 3.741050e+0 2.107320e+6 3.734630e+0
 2.109010e+6 3.706210e+0 2.110270e+6 3.840340e+0 2.111110e+6 3.826950e+0
 2.111960e+6 3.894270e+0 2.112800e+6 4.086090e+0 2.113640e+6 4.282780e+0
 2.114490e+6 4.677520e+0 2.115200e+6 4.997310e+0 2.115340e+6 5.060360e+0
 2.116180e+6 5.627010e+0 2.117030e+6 5.797260e+0 2.117880e+6 5.617270e+0
 2.118720e+6 5.215380e+0 2.119570e+6 4.923550e+0 2.120420e+6 4.343290e+0
 2.121200e+6 4.093780e+0 2.121270e+6 4.071390e+0 2.122120e+6 3.898790e+0
 2.122970e+6 3.714880e+0 2.123820e+6 3.534260e+0 2.124670e+6 3.574320e+0
 2.125740e+6 3.391270e+0 2.127010e+6 3.242870e+0 2.128290e+6 3.103240e+0
 2.130000e+6 3.088790e+0 2.132140e+6 2.945140e+0 2.134200e+6 2.858530e+0
 2.134280e+6 2.855170e+0 2.136430e+6 2.753850e+0 2.138580e+6 2.738770e+0
 2.140730e+6 2.655180e+0 2.142880e+6 2.606750e+0 2.145040e+6 2.586130e+0
 2.147200e+6 2.617300e+0 2.149360e+6 2.658660e+0 2.151530e+6 2.578200e+0
 2.153700e+6 2.499170e+0 2.155880e+6 2.491150e+0 2.158050e+6 2.505800e+0
 2.160230e+6 2.487660e+0 2.162420e+6 2.433730e+0 2.162800e+6 2.436310e+0
 2.164610e+6 2.448620e+0 2.166360e+6 2.446710e+0 2.167670e+6 2.560790e+0
 2.168990e+6 2.720240e+0 2.170310e+6 2.907040e+0 2.171630e+6 3.133390e+0
 2.172950e+6 3.158460e+0 2.174270e+6 3.023260e+0 2.175590e+6 2.990940e+0
 2.176920e+6 2.899870e+0 2.178240e+6 2.856940e+0 2.179300e+6 2.696040e+0
 2.179570e+6 2.655060e+0 2.181340e+6 2.656030e+0 2.183560e+6 2.584420e+0
 2.185780e+6 2.508920e+0 2.188000e+6 2.455840e+0 2.190220e+6 2.381520e+0
 2.192450e+6 2.374180e+0 2.194690e+6 2.378690e+0 2.194900e+6 2.378340e+0
 2.196920e+6 2.374990e+0 2.199160e+6 2.343230e+0 2.201410e+6 2.313130e+0
 2.203650e+6 2.305100e+0 2.205900e+6 2.305830e+0 2.208160e+6 2.356040e+0
 2.210420e+6 2.297340e+0 2.212200e+6 2.313230e+0 2.212680e+6 2.317510e+0
 2.214940e+6 2.404240e+0 2.216600e+6 2.484110e+0 2.217210e+6 2.513460e+0
 2.219030e+6 2.594310e+0 2.220390e+6 2.666530e+0 2.221750e+6 2.839810e+0
 2.223120e+6 3.009210e+0 2.224400e+6 3.194040e+0 2.224490e+6 3.207030e+0
 2.225860e+6 3.556290e+0 2.227230e+6 3.741890e+0 2.228600e+6 3.747200e+0
 2.229600e+6 3.642460e+0 2.229970e+6 3.603710e+0 2.231350e+6 3.381010e+0
 2.232720e+6 3.045620e+0 2.234100e+6 2.842810e+0 2.235480e+6 2.652270e+0
 2.235600e+6 2.630840e+0 2.236860e+6 2.405760e+0 2.238240e+6 2.335920e+0
 2.240080e+6 2.246300e+0 2.242390e+6 2.122640e+0 2.244700e+6 2.069550e+0
 2.247010e+6 2.014810e+0 2.249330e+6 1.985650e+0 2.249500e+6 1.988020e+0
 2.251650e+6 2.017920e+0 2.253970e+6 1.940480e+0 2.256300e+6 1.938700e+0
 2.258630e+6 1.931970e+0 2.259000e+6 1.932500e+0 2.260970e+6 1.935330e+0
 2.263300e+6 1.915170e+0 2.265650e+6 2.007850e+0 2.267990e+6 2.064980e+0
 2.268600e+6 2.105150e+0 2.270340e+6 2.219720e+0 2.272700e+6 2.438130e+0
 2.275050e+6 2.583840e+0 2.275500e+6 2.610930e+0 2.277410e+6 2.725930e+0
 2.279780e+6 2.935330e+0 2.282150e+6 3.284980e+0 2.283300e+6 3.267580e+0
 2.284520e+6 3.249120e+0 2.286890e+6 3.569840e+0 2.289270e+6 3.693360e+0
 2.291660e+6 3.751410e+0 2.292800e+6 3.682770e+0 2.294040e+6 3.608090e+0
 2.296430e+6 3.371420e+0 2.298830e+6 3.228070e+0 2.301230e+6 3.152520e+0
 2.303630e+6 3.085150e+0 2.305000e+6 3.018090e+0 2.306030e+6 2.967710e+0
 2.308440e+6 2.913460e+0 2.310860e+6 2.809070e+0 2.313270e+6 2.724620e+0
 2.315690e+6 2.584070e+0 2.318120e+6 2.524340e+0 2.320550e+6 2.496690e+0
 2.322980e+6 2.458590e+0 2.325410e+6 2.427930e+0 2.327850e+6 2.372070e+0
 2.330300e+6 2.410190e+0 2.331400e+6 2.389390e+0 2.332740e+6 2.364060e+0
 2.335190e+6 2.227990e+0 2.337400e+6 2.297290e+0 2.339370e+6 2.337250e+0
 2.341340e+6 2.277710e+0 2.343310e+6 2.366310e+0 2.345290e+6 2.319640e+0
 2.347260e+6 2.301770e+0 2.349240e+6 2.424100e+0 2.351220e+6 2.367530e+0
 2.353210e+6 2.366300e+0 2.355190e+6 2.363210e+0 2.356300e+6 2.371660e+0
 2.357180e+6 2.378340e+0 2.359170e+6 2.415280e+0 2.361170e+6 2.426080e+0
 2.363160e+6 2.414340e+0 2.365160e+6 2.480930e+0 2.366670e+6 2.590580e+0
 2.367670e+6 2.605550e+0 2.368670e+6 2.665360e+0 2.369670e+6 2.860140e+0
 2.370400e+6 2.996470e+0 2.370680e+6 3.048770e+0 2.371680e+6 3.402190e+0
