          eV      barns         eV      barns         eV      barns

  0           0           0           0           0           0 
  1.000000e-5 3.713628e+1 2.000000e-5 3.224498e+1 5.000000e-5 2.790478e+1
  1.000000e-4 2.571732e+1 2.000000e-4 2.417056e+1 5.000000e-4 2.279806e+1
  1.000000e-3 2.210633e+1 2.000000e-3 2.161720e+1 5.000000e-3 2.118318e+1
  1.000000e-2 2.096443e+1 2.530000e-2 2.076834e+1 5.000000e-2 2.067250e+1
  1.000000e-1 2.060332e+1 2.000000e-1 2.055439e+1 5.000000e-1 2.051095e+1
  1.000000e+0 2.048901e+1 2.000000e+0 2.047341e+1 5.000000e+0 2.045928e+1
  1.000000e+1 2.045169e+1 2.000000e+1 2.044545e+1 5.000000e+1 2.043707e+1
  1.000000e+2 2.042815e+1 2.000000e+2 2.041317e+1 5.000000e+2 2.037161e+1
  1.000000e+3 2.030435e+1 2.000000e+3 2.017221e+1 4.000000e+3 1.991433e+1
  6.000000e+3 1.966407e+1 8.000000e+3 1.942096e+1 1.000000e+4 1.918468e+1
  1.500000e+4 1.862195e+1 2.000000e+4 1.809600e+1 4.000000e+4 1.629575e+1
  6.000000e+4 1.486744e+1 8.000000e+4 1.370595e+1 1.000000e+5 1.274239e+1
  1.500000e+5 1.092347e+1 2.000000e+5 9.643237e+0 3.000000e+5 7.951994e+0
  4.000000e+5 6.876451e+0 5.000000e+5 6.125481e+0 6.000000e+5 5.566913e+0
  7.000000e+5 5.132043e+0 8.000000e+5 4.781603e+0 9.000000e+5 4.491504e+0
  1.000000e+6 4.246138e+0 1.200000e+6 3.850489e+0 1.400000e+6 3.541783e+0
  1.600000e+6 3.291349e+0 1.800000e+6 3.082224e+0 2.000000e+6 2.903682e+0
  2.200000e+6 2.748580e+0 2.400000e+6 2.611955e+0 2.600000e+6 2.490235e+0
  2.800000e+6 2.380773e+0 3.000000e+6 2.281558e+0 3.200000e+6 2.191030e+0
  3.400000e+6 2.107954e+0 3.600000e+6 2.031337e+0 3.800000e+6 1.960371e+0
  4.000000e+6 1.894386e+0 4.200000e+6 1.832823e+0 4.400000e+6 1.775213e+0
  4.600000e+6 1.721153e+0 4.800000e+6 1.670299e+0 5.000000e+6 1.622354e+0
  5.500000e+6 1.513587e+0 6.000000e+6 1.418191e+0 6.500000e+6 1.333743e+0
  7.000000e+6 1.258400e+0 7.500000e+6 1.190730e+0 8.000000e+6 1.129596e+0
  8.500000e+6 1.074084e+0 9.000000e+6 1.023447e+0 9.500000e+6 9.770666e-1
  1.000000e+7 9.344290e-1 1.050000e+7 8.950999e-1 1.100000e+7 8.587108e-1
  1.150000e+7 8.249463e-1 1.200000e+7 7.935351e-1 1.250000e+7 7.642418e-1
  1.300000e+7 7.368615e-1 1.350000e+7 7.112148e-1 1.400000e+7 6.871439e-1
  1.450000e+7 6.645095e-1 1.500000e+7 6.431880e-1 1.550000e+7 6.230693e-1
  1.600000e+7 6.040552e-1 1.650000e+7 5.860577e-1 1.700000e+7 5.689977e-1
  1.750000e+7 5.528040e-1 1.800000e+7 5.374121e-1 1.850000e+7 5.227637e-1
  1.900000e+7 5.088059e-1 1.950000e+7 4.954905e-1 2.00000e+30 4.827735e-1
